data,produto,estoque,quantidade_vendida,preco_venda,preco_compra
2026-03-30,tomate,50,20,6.99,4.00
2026-03-30,banana,40,12,5.99,3.00
2026-03-30,alface,30,10,3.99,2.00
2026-03-31,tomate,48,22,6.99,4.00
2026-03-31,banana,38,14,5.99,3.00
2026-03-31,alface,28,12,3.99,2.00
2026-04-01,tomate,45,25,6.99,4.00
2026-04-01,banana,36,16,5.99,3.00
2026-04-01,alface,25,15,3.99,2.00
2026-04-02,tomate,42,28,6.99,4.00
2026-04-02,banana,34,18,5.99,3.00
2026-04-02,alface,22,18,3.99,2.00
2026-04-03,tomate,40,32,6.99,4.00
2026-04-03,banana,32,20,5.99,3.00
2026-04-03,alface,20,20,3.99,2.00
2026-04-04,tomate,38,45,6.99,4.20
2026-04-04,banana,30,30,5.99,3.10
2026-04-04,alface,18,28,3.99,2.10
2026-04-05,tomate,35,42,6.99,4.20
2026-04-05,banana,28,28,5.99,3.10
2026-04-05,alface,15,25,3.99,2.10

2026-04-06,tomate,50,18,6.99,4.00
2026-04-06,banana,40,10,5.99,3.00
2026-04-06,alface,30,8,3.99,2.00
2026-04-07,tomate,48,20,6.99,4.00
2026-04-07,banana,38,12,5.99,3.00
2026-04-07,alface,28,10,3.99,2.00
2026-04-08,tomate,45,24,6.99,4.00
2026-04-08,banana,36,14,5.99,3.00
2026-04-08,alface,25,13,3.99,2.00
2026-04-09,tomate,42,27,6.99,4.00
2026-04-09,banana,34,17,5.99,3.00
2026-04-09,alface,22,16,3.99,2.00
2026-04-10,tomate,40,30,6.99,4.00
2026-04-10,banana,32,20,5.99,3.00
2026-04-10,alface,20,18,3.99,2.00
2026-04-11,tomate,38,48,6.99,4.20
2026-04-11,banana,30,32,5.99,3.10
2026-04-11,alface,18,30,3.99,2.10
2026-04-12,tomate,35,45,6.99,4.20
2026-04-12,banana,28,30,5.99,3.10
2026-04-12,alface,15,27,3.99,2.10

2026-04-13,tomate,50,17,6.99,4.00
2026-04-13,banana,40,9,5.99,3.00
2026-04-13,alface,30,7,3.99,2.00
2026-04-14,tomate,48,19,6.99,4.00
2026-04-14,banana,38,11,5.99,3.00
2026-04-14,alface,28,9,3.99,2.00
2026-04-15,tomate,45,23,6.99,4.00
2026-04-15,banana,36,14,5.99,3.00
2026-04-15,alface,25,12,3.99,2.00
2026-04-16,tomate,42,26,6.99,4.00
2026-04-16,banana,34,16,5.99,3.00
2026-04-16,alface,22,15,3.99,2.00
2026-04-17,tomate,40,29,6.99,4.00
2026-04-17,banana,32,18,5.99,3.00
2026-04-17,alface,20,17,3.99,2.00
2026-04-18,tomate,38,50,6.99,4.20
2026-04-18,banana,30,34,5.99,3.10
2026-04-18,alface,18,32,3.99,2.10
2026-04-19,tomate,35,47,6.99,4.20
2026-04-19,banana,28,31,5.99,3.10
2026-04-19,alface,15,28,3.99,2.10

2026-04-20,tomate,50,18,6.99,4.00
2026-04-20,banana,40,11,5.99,3.00
2026-04-20,alface,30,9,3.99,2.00
2026-04-21,tomate,48,20,6.99,4.00
2026-04-21,banana,38,13,5.99,3.00
2026-04-21,alface,28,11,3.99,2.00
2026-04-22,tomate,45,24,6.99,4.00
2026-04-22,banana,36,15,5.99,3.00
2026-04-22,alface,25,13,3.99,2.00
2026-04-23,tomate,42,27,6.99,4.00
2026-04-23,banana,34,17,5.99,3.00
2026-04-23,alface,22,16,3.99,2.00
2026-04-24,tomate,40,31,6.99,4.00
2026-04-24,banana,32,20,5.99,3.00
2026-04-24,alface,20,18,3.99,2.00
2026-04-25,tomate,38,52,6.99,4.20
2026-04-25,banana,30,35,5.99,3.10
2026-04-25,alface,18,33,3.99,2.10
2026-04-26,tomate,35,48,6.99,4.20
2026-04-26,banana,28,32,5.99,3.10
2026-04-26,alface,15,29,3.99,2.10
